year	reader_i	reader_j	dyad	trt_i	trt_j	birds_i	birds_j	dist_ij	pfor_ij	count	active_days
2014	M2_E	M2_C	M2_C-M2_E	connected	center	2	3	0.178044938147649	0.538461538461538	10	11
2014	M2_E	M2_N	M2_E-M2_N	connected	connected	2	0	0.374172420148786	0.288888888888889	0	11
2014	M2_E	M2_S	M2_E-M2_S	connected	forest	2	1	0.22006589922112	0.709677419354839	0	11
2014	M2_E	M2_W	M2_E-M2_W	connected	isolated	2	2	0.39682867839913	0.482758620689655	9	11
2014	M2_N	M1_C	M1_C-M2_N	connected	center	0	4	2.15642110915285	0.496732026143791	0	11
2014	M2_N	M1_E	M1_E-M2_N	connected	isolated	0	4	2.39003953942189	0.448377581120944	0	11
2014	M2_N	M1_NE	M1_NE-M2_N	connected	forest	0	1	2.11247816556763	0.749163879598662	0	11
2014	M2_N	M1_NW	M1_NW-M2_N	connected	connected	0	0	1.91272501944216	0.672794117647059	0	11
2014	M2_N	M1_S	M1_S-M2_N	connected	connected	0	4	2.10547025626106	0.35472972972973	0	11
2014	M2_N	M2_C	M2_C-M2_N	connected	center	0	3	0.233976494545927	0.0357142857142857	0	11
2014	M2_N	M2_E	M2_E-M2_N	connected	connected	0	2	0.374172420148786	0.288888888888889	0	11
2014	M2_N	M2_S	M2_N-M2_S	connected	forest	0	1	0.489418021736021	0.426229508196721	0	11
2014	M2_N	M2_W	M2_N-M2_W	connected	isolated	0	2	0.245544293356616	0.375	0	11
2014	M2_S	M1_C	M1_C-M2_S	forest	center	1	4	1.94911723608407	0.588235294117647	0	11
2014	M2_S	M1_E	M1_E-M2_S	forest	isolated	1	4	2.17348130886833	0.557377049180328	0	11
2014	M2_S	M1_NE	M1_NE-M2_S	forest	forest	1	1	1.95940858424168	0.683018867924528	0	11
2014	M2_S	M1_NW	M1_NW-M2_S	forest	connected	1	0	1.7278799148089	0.546218487394958	0	11
2014	M2_S	M1_S	M1_S-M2_S	forest	connected	1	4	1.85345865883218	0.66030534351145	0	11
2014	M2_S	M2_C	M2_C-M2_S	forest	center	1	3	0.25649366463911	0.676470588235294	0	11
2014	M2_S	M2_E	M2_E-M2_S	forest	connected	1	2	0.22006589922112	0.709677419354839	0	11
2014	M2_S	M2_N	M2_N-M2_S	forest	connected	1	0	0.489418021736021	0.426229508196721	0	11
2014	M2_S	M2_W	M2_S-M2_W	forest	isolated	1	2	0.386359935811155	0.916666666666667	12	11
2014	M2_W	M1_C	M1_C-M2_W	isolated	center	2	4	2.25266153693803	0.410658307210031	0	11
2014	M2_W	M1_E	M1_E-M2_W	isolated	isolated	2	4	2.48305155000858	0.431818181818182	0	11
2014	M2_W	M1_NE	M1_NE-M2_W	isolated	forest	2	1	2.2330768011871	0.724358974358974	0	11
2014	M2_W	M1_NW	M1_NW-M2_W	isolated	connected	2	0	2.01777724241305	0.526315789473684	0	11
2014	M2_W	M1_S	M1_S-M2_W	isolated	connected	2	4	2.17924138176568	0.446601941747573	0	11
2014	M2_W	M2_C	M2_C-M2_W	isolated	center	2	3	0.222200360035712	0.363636363636364	16	11
2014	M2_W	M2_E	M2_E-M2_W	isolated	connected	2	2	0.39682867839913	0.482758620689655	9	11
2014	M2_W	M2_N	M2_N-M2_W	isolated	connected	2	0	0.245544293356616	0.375	0	11
2014	M2_W	M2_S	M2_S-M2_W	isolated	forest	2	1	0.386359935811155	0.916666666666667	13	11
2015	LOM_C	LOM_N	LOM_C-LOM_N	center	forest	0	0	0.238002100831064	0.208333333333333	0	64
2015	LOM_C	LOM_NE	LOM_C-LOM_NE	center	connected	0	0	0.268895890634275	0.166666666666667	0	64
2015	LOM_C	LOM_SE	LOM_C-LOM_SE	center	isolated	0	0	0.272347204869079	0.375	0	64
2015	LOM_C	LOM_W	LOM_C-LOM_W	center	forest	0	0	0.258265367403374	0.675675675675676	0	64
2015	LOM_C	M1_C	LOM_C-M1_C	center	center	0	5	3.65878190112502	0.787321063394683	0	64
2015	LOM_C	M1_E	LOM_C-M1_E	center	isolated	0	4	3.55880120265238	0.826446280991736	0	64
2015	LOM_C	M1_NE	LOM_C-M1_NE	center	forest	0	0	3.90076518134583	0.789272030651341	0	64
2015	LOM_C	M1_NW	LOM_C-M1_NW	center	connected	0	1	3.81370423604138	0.755511022044088	0	64
2015	LOM_C	M1_S	LOM_C-M1_S	center	connected	0	1	3.48619592105779	0.788671023965142	0	64
2015	LOM_C	M2_C	LOM_C-M2_C	center	center	0	6	4.64633748236178	0.872611464968153	0	64
2015	LOM_C	M2_E	LOM_C-M2_E	center	connected	0	1	4.50905666409283	0.801282051282051	0	64
2015	LOM_C	M2_N	LOM_C-M2_N	center	connected	0	6	4.87610920714457	0.817269076305221	0	64
2015	LOM_C	M2_S	LOM_C-M2_S	center	forest	0	0	4.40409548034554	0.862612612612613	0	64
2015	LOM_C	M2_W	LOM_C-M2_W	center	isolated	0	1	4.78055697591818	0.890020366598778	0	64
2015	LOM_N	LOM_C	LOM_C-LOM_N	forest	center	0	0	0.238002100831064	0.208333333333333	0	64
2015	LOM_N	LOM_NE	LOM_N-LOM_NE	forest	connected	0	0	0.275045450789501	0.459459459459459	0	64
2015	LOM_N	LOM_SE	LOM_N-LOM_SE	forest	isolated	0	0	0.469282430951767	0.46031746031746	0	64
2015	LOM_N	LOM_W	LOM_N-LOM_W	forest	forest	0	0	0.427076105629898	0.866666666666667	0	64
2015	LOM_N	M1_C	LOM_N-M1_C	forest	center	0	5	3.44604265789035	0.783261802575107	0	64
2015	LOM_N	M1_E	LOM_N-M1_E	forest	isolated	0	4	3.3529707723152	0.856832971800434	0	64
2015	LOM_N	M1_NE	LOM_N-M1_NE	forest	forest	0	0	3.68885592020073	0.785571142284569	0	64
2015	LOM_N	M1_NW	LOM_N-M1_NW	forest	connected	0	1	3.5953410130334	0.756302521008403	0	64
2015	LOM_N	M1_S	LOM_N-M1_S	forest	connected	0	1	3.26944842442881	0.805045871559633	0	64
2015	LOM_N	M2_C	LOM_N-M2_C	forest	center	0	6	4.40836851907823	0.910714285714286	0	64
2015	LOM_N	M2_E	LOM_N-M2_E	forest	connected	0	1	4.27126597158266	0.835955056179775	0	64
2015	LOM_N	M2_N	LOM_N-M2_N	forest	connected	0	6	4.63818865506784	0.852631578947368	0	64
2015	LOM_N	M2_S	LOM_N-M2_S	forest	forest	0	0	4.1660940939926	0.897862232779097	0	64
2015	LOM_N	M2_W	LOM_N-M2_W	forest	isolated	0	1	4.54261180379746	0.920940170940171	0	64
2015	LOM_NE	LOM_C	LOM_C-LOM_NE	connected	center	0	0	0.268895890634275	0.166666666666667	0	64
2015	LOM_NE	LOM_N	LOM_N-LOM_NE	connected	forest	0	0	0.275045450789501	0.459459459459459	0	64
2015	LOM_NE	LOM_SE	LOM_NE-LOM_SE	connected	isolated	0	0	0.303506177861341	0.885714285714286	0	64
2015	LOM_NE	LOM_W	LOM_NE-LOM_W	connected	forest	0	0	0.526824448939113	0.402777777777778	0	64
2015	LOM_NE	M1_C	LOM_NE-M1_C	connected	center	0	5	3.45585011249041	0.885462555066079	0	64
2015	LOM_NE	M1_E	LOM_NE-M1_E	connected	isolated	0	4	3.34567377369641	0.933184855233853	0	64
2015	LOM_NE	M1_NE	LOM_NE-M1_NE	connected	forest	0	0	3.69603679635363	0.870636550308008	0	64
2015	LOM_NE	M1_NW	LOM_NE-M1_NW	connected	connected	0	1	3.62059622161875	0.881465517241379	0	64
